Romanian	French	Italian	Spanish	Portuguese	Latin-reconstruct
-	acquérir	-	adquirir	adquirir	acquaerīre
cumpli	complir	-	-	-	complīre
muri	mourir	morire	morir	morrer	morīre
dirept	-	diretto	derecho	direito	dērēctum
scădea	échoir	scadere	-	-	excadēre
-	parler	parlare	-	-	paraulāre
-	gagner	guadagnare	guadañar	ganhar	wadaniāre
impozit	impôt	imposta	impuesto	imposto	impōsitum
-	mêler	mescolare	mezclar	-	misculāre
încălzi	-	-	-	-	incaldīre
-	boscage	-	-	-	boscāticum
bară	barre	barra	barra	barra	barram
-	blanc	bianco	blanco	branco	blancum
-	guerre	guerra	guerra	guerra	werram
-	ficher	ficcare	hincar	fincar	fīccāre
-	chapeau	cappello	capillo	capelo	cappellum
puți	puer	putire	pudir	-	pūtīre
gheață	glace	ghiaccia	-	-	glaciam
-	-	voltare	-	voltar	voltāre
-	périr	perire	perecer	perecer	perīre
-	-	-	lagarto	lagarto	lacartum
-	-	nino	niño	nenê	ninnum
-	parrain	padrino	padrino	padrinho	patrīnum
-	marraine	madrina	madrina	madrinha	mātrīnam
-	patte	-	pata	pata	pattam
varză	verza	-	berza	verça	virdiam
